Year,Top_Search,Score,Ticker
2004,aapl stock,100,AAPL
2004,appl,50,AAPL
2005,aapl stock,100,AAPL
2005,goog,70,AAPL
2005,msft,30,AAPL
2005,apple,30,AAPL
2005,appl,20,AAPL
2005,siri,15,AAPL
2005,yhoo,15,AAPL
2005,intc,15,AAPL
2005,aapl quote,10,AAPL
2005,stock goog,10,AAPL
2005,amd,10,AAPL
2005,dna,5,AAPL
2005,mot,5,AAPL
2005,csco,5,AAPL
2005,pfe,5,AAPL
2005,indu,5,AAPL
2005,aaple,5,AAPL
2005,bidu,5,AAPL
2005,chk,5,AAPL
2005,orcl,5,AAPL
2005,sndk,5,AAPL
2005,unh,5,AAPL
2005,aapl stock quote,5,AAPL
2005,boom,0,AAPL
2005,grmn,0,AAPL
2006,goog,100,AAPL
2006,aapl stock,65,AAPL
2006,msft,35,AAPL
2006,apple,25,AAPL
2006,intc,25,AAPL
2006,appl,20,AAPL
2006,siri,20,AAPL
2006,yhoo,20,AAPL
2006,amd,15,AAPL
2006,dell,15,AAPL
2006,csco,10,AAPL
2006,sbux,10,AAPL
2006,stock goog,10,AAPL
2006,mot,10,AAPL
2006,sndk,10,AAPL
2006,quote aapl,10,AAPL
2006,hans,5,AAPL
2006,vlo,5,AAPL
2006,xom,5,AAPL
2006,dis,5,AAPL
2006,qcom,5,AAPL
2006,ge,5,AAPL
2006,qqqq,5,AAPL
2006,sunw,5,AAPL
2006,rimm,5,AAPL
2007,goog,100,AAPL
2007,stock aapl,45,AAPL
2007,apple,30,AAPL
2007,msft,30,AAPL
2007,rimm,30,AAPL
2007,appl,20,AAPL
2007,csco,15,AAPL
2007,bidu,15,AAPL
2007,siri,15,AAPL
2007,intc,15,AAPL
2007,quote aapl,10,AAPL
2007,iphone,10,AAPL
2007,yhoo,10,AAPL
2007,nyx,10,AAPL
2007,amzn,10,AAPL
2007,yahoo aapl,10,AAPL
2007,gs,10,AAPL
2007,ma,10,AAPL
2007,vmw,10,AAPL
2007,apple stock,10,AAPL
2007,grmn,10,AAPL
2007,sbux,10,AAPL
2007,xom,5,AAPL
2007,finance,5,AAPL
2007,crox,5,AAPL
2008,goog,100,AAPL
2008,aapl stock,45,AAPL
2008,rimm,35,AAPL
2008,msft,25,AAPL
2008,apple,25,AAPL
2008,yhoo,20,AAPL
2008,aapl quote,15,AAPL
2008,bidu,15,AAPL
2008,siri,15,AAPL
2008,yahoo aapl,10,AAPL
2008,bac,10,AAPL
2008,gs,10,AAPL
2008,appl,10,AAPL
2008,intc,10,AAPL
2008,csco,10,AAPL
2008,fslr,10,AAPL
2008,ma,10,AAPL
2008,ge,10,AAPL
2008,pot,10,AAPL
2008,amzn,10,AAPL
2008,finance,10,AAPL
2008,dji,5,AAPL
2008,vmw,5,AAPL
2008,aapl news,5,AAPL
2008,gm,5,AAPL
2009,stock aapl,100,AAPL
2009,goog,80,AAPL
2009,bac,40,AAPL
2009,quote aapl,35,AAPL
2009,rimm,35,AAPL
2009,apple,35,AAPL
2009,msft,30,AAPL
2009,ge,25,AAPL
2009,gs,20,AAPL
2009,aapl yahoo,20,AAPL
2009,aapl stock quote,15,AAPL
2009,amzn,15,AAPL
2009,appl,15,AAPL
2009,siri,15,AAPL
2009,aig,15,AAPL
2009,aapl news,10,AAPL
2009,djia,10,AAPL
2009,intc,10,AAPL
2009,bidu,10,AAPL
2009,finance,10,AAPL
2009,csco,10,AAPL
2009,wfc,10,AAPL
2009,yhoo,10,AAPL
2009,ge stock,10,AAPL
2009,fslr,10,AAPL
2010,stock aapl,100,AAPL
2010,goog,70,AAPL
2010,apple,50,AAPL
2010,quote aapl,30,AAPL
2010,msft,25,AAPL
2010,yahoo aapl,20,AAPL
2010,aapl price,20,AAPL
2010,iphone,20,AAPL
2010,bac,15,AAPL
2010,appl,15,AAPL
2010,bidu,15,AAPL
2010,amzn,15,AAPL
2010,aapl finance,15,AAPL
2010,finance,15,AAPL
2010,nflx,15,AAPL
2010,gs,10,AAPL
2010,aapl news,10,AAPL
2010,rimm,10,AAPL
2010,aapl earnings,10,AAPL
2010,aapl stock price,10,AAPL
2010,goog stock,10,AAPL
2010,bp,10,AAPL
2010,intc,10,AAPL
2010,aapl stocks,10,AAPL
2010,stock quote aapl,10,AAPL
2011,stock aapl,100,AAPL
2011,goog,55,AAPL
2011,apple,45,AAPL
2011,quote aapl,25,AAPL
2011,google aapl,25,AAPL
2011,nflx,20,AAPL
2011,yahoo aapl,20,AAPL
2011,amzn,20,AAPL
2011,bac,20,AAPL
2011,aapl price,15,AAPL
2011,appl,15,AAPL
2011,aapl finance,15,AAPL
2011,finance,15,AAPL
2011,steve jobs,15,AAPL
2011,aapl news,15,AAPL
2011,msft,15,AAPL
2011,aapl earnings,15,AAPL
2011,bidu,10,AAPL
2011,aapl stock price,10,AAPL
2011,apple stock,10,AAPL
2011,aapl after hours,10,AAPL
2011,stocks aapl,10,AAPL
2011,stocks,10,AAPL
2011,dow,10,AAPL
2011,xom,10,AAPL
2012,aapl stock,100,AAPL
2012,goog,55,AAPL
2012,fb,45,AAPL
2012,apple,40,AAPL
2012,aapl google,25,AAPL
2012,aapl yahoo,25,AAPL
2012,aapl quote,25,AAPL
2012,aapl price,20,AAPL
