aig reverse split,Breakout
aig chartis,Breakout
chartis,Breakout
chartis insurance,Breakout
aiu holdings,Breakout
jake desantis aig,Breakout
jake desantis,Breakout
aig bonus list,Breakout
aig bonus recipients,+4,750%
aig split,+4,550%
aig stock split,+4,550%
dodd aig,+3,450%
ctic,+3,100%
aig bonus tax,+2,300%
chris dodd,+2,250%
faz,+2,150%
chris dodd aig,+2,100%
aig i quit,+2,000%
aig bonuses,+1,950%
citigroup stock price,+1,650%
fas,+1,550%
aig bonus,+1,350%
citigroup stock,+1,300%
c stocks,+1,250%
c stock,+1,250%
