amd 9850,Breakout
amd 9950,Breakout
amd phenom 9850,Breakout
amd rm-70,Breakout
amd phenom 9950,Breakout
amd 4870,Breakout
amd 4850e,Breakout
amd phenom 8450,Breakout
amd phenom 8400,Breakout
amd 790gx,Breakout
amd phenom ii,Breakout
amd 780g chipset,Breakout
amd sb750,Breakout
gigabyte ga-ma78gm-s2h,Breakout
amd cinema 2.0,+4,800%
amd deneb,+3,600%
deneb,+3,450%
amd 780g,+3,100%
xp sp3 amd,+2,750%
amd phenom 9550,+2,250%
amd 9550,+1,900%
iatkos,+1,850%
amd triple core,+1,550%
amd shanghai,+1,250%
amd phenom 2,+900%
