cit bracket,Breakout
cit tournament 2009,Breakout
cbi tournament,Breakout
cit cmail,Breakout
citi bankruptcy,Breakout
c quote,Breakout
cit bondholders,Breakout
fas,Breakout
citigroup stock price,+4,050%
cit bankruptcy,+2,800%
lll,+1,700%
cbi,+1,650%
cit group bankruptcy,+1,150%
cit basketball tournament,+1,050%
owl cit,+1,000%
c stock,+900%
cit tournament,+700%
aig stock,+500%
cit message board,+500%
nit,+500%
cit bankrupt,+450%
cit basketball,+450%
cit group news,+400%
bac,+400%
cit group stock,+400%
