dell xps 8500,Breakout
ultrabook,+4,500%
dell xps13,+4,350%
jenny dell nesn,+4,150%
dell ultrabook,+4,050%
dell xps 12,+3,000%
dell xps 13,+1,650%
jenny dell,+1,100%
alexa dell,+1,050%
dell 8500,+550%
dell ultrasharp u2412m,+400%
dell inspiron n7110,+350%
dell inspiron 14z,+350%
dell inspiron n5110,+300%
dell 14z,+250%
dell u2412m,+250%
dell xps 14z,+250%
dell optiplex 790,+200%
dell optiplex 390,+200%
dell inspiron n5040,+160%
dell precision m4600,+110%
dell latitude e6420,+90%
dell latitude e5520,+80%
tigerdirect,+70%
dell latitude e6520,+70%
