dell venue 11,Breakout
dell venue 8,Breakout
dell xps 8700,Breakout
dell buyout,Breakout
dell m3800,+4,600%
dell vrtx,+4,150%
dell u3014,+3,950%
dell going private,+2,200%
dell venue 7,+1,100%
dell system detect,+700%
dell latitude 10,+600%
dell 6430u,+600%
dell latitude e5430,+550%
dell e5430,+500%
dell venue,+500%
dell venue pro,+500%
dell optiplex 3010,+450%
stephen curry,+450%
dell inspiron 3520,+450%
dell xps 11,+400%
dell optiplex 7010,+400%
dell curry,+350%
dell latitude e5530,+350%
dell inspiron 15z,+350%
dell e6430,+350%
