emc insignia,Breakout
twx,Breakout
brcd,+2,550%
emc retrospect express,+1,400%
emc rsa,+1,250%
emc retrospect,+1,050%
emc dantz retrospect,+400%
emc club,+350%
emc monkeys,+350%
emc networker,+300%
emc mortgage services,+200%
emc captiva,+200%
emc monkey,+200%
emc world,+150%
emc insurance companies,+140%
emc mortage,+140%
baldwin emc,+100%
emc mortgage servicing,+80%
emc stock price,+70%
central ga emc,+70%
emc mortgage corp,+70%
coweta emc,+70%
lumbee river emc,+60%
emc mortgage,+60%
emc documentum,+50%
