kuroinu,Breakout
hachimitsu ni hatsukoi,+1,800%
kuroinu_kedakaki_seijo_wa_hakudaku_ni_somaru,+1,700%
kurayami ni strobe,+1,700%
flowers of war,+1,100%
sword art online,+800%
ni siquiera dejaste,+650%
mangahere,+650%
hiiro no kakera,+650%
cat planet cuties,+600%
ni week 2012,+350%
donten ni warau,+200%
park ni ma,+190%
kimi ni happiness,+180%
ni no kuni,+150%
kangna tera ni,+150%
ulster bank ni,+140%
ni hao yall,+130%
harem anime,+120%
zero no tsukaima,+120%
boba ni taco,+100%
ni ni actress,+90%
ni siquiera,+80%
ni no kun,+80%
kusina ni tess,+70%
