te pintaron pajaritos,Breakout
cuando te encuentre,+1,150%
cuando te enamores,+1,150%
te quiero arjona,+850%
asi te pego,+750%
michel telo,+700%
eu te pego,+700%
mp3xd,+450%
si te pego,+400%
dilandau,+250%
yuridia,+250%
imagenes te extraño,+200%
ya te olvide,+200%
imagenes de amor,+170%
ricardo arjona,+160%
imagenes,+140%
yo te esperare,+120%
te amo imagenes,+120%
te amo frases,+100%
buenas noches,+100%
te extraño amor,+90%
te extraño tanto,+80%
te esperare,+70%
vaz te,+60%
yo te extrañare,+60%
